Place,Parent,MapSheet,UF,BT
Hells Gate,WA East Kimberley,E5209,,Mount Ramsay map area (WA East Kimberley SE52-09)
Union Bend,NW NSW,H5416,,Wilcannia map area (NW NSW SH54-16)
Steamer Point,NW NSW,H5416,,Wilcannia map area (NW NSW SH54-16)
Old Toorale,NW NSW,H5509,,Louth map area (NW NSW SH55-09)
Elslie,Qld Far West,F5412,,Winton map area (Qld Far West SF54-12)
Salvator Rosa National Park,SW Qld,G5503,,Springsure map area (SW Qld SG55-03)
Skeleton Hill,"WA Fitzroy River, West Kimberley",E5112,,"Noonkanbah map area (WA Fitzroy River, West Kimberley SE51-12)"
Jinka,SE Central NT,F5311,,Huckitta map area (SE Central NT SF53-11)
Oyster Harbour,SW WA ,I5011,,"Mount Barker / Albany map areas (SW WA SI50-11, SI50-15)"
Black Rock,Vic,J5505,,Melbourne map area (Vic SJ55-05)
Boydang Cay,Qld TSI,C5505,,"Torres Strait Islands (Qld TSI SC54, SC55-05)"
Durrie,Qld Far West,G5406,,Betoota map area (Qld Far West SG54-06)
Connewarren Lagoon,W Vic,J5412,,Colac map area (W Vic SJ54-12)
Mardie,WA West Pilbara,F5006,,Yarraloola map area (WA West Pilbara SF50-06)
Willie Creek,WA West Kimberley,E5106,,Broome map area (WA West Kimberley SE51-06)
Kings Creek,SE Qld,G5614,,Ipswich map area (SE Qld SG56-14)
Oombunghi,Qld Far NW,F5402,,Cloncurry map area (Qld Far NW SF54-02)
Lilla Creek Station,South Central NT,G5306,,Finke map area (South Central NT SG53-06)
Stanhope,NSW N Coast,I5601,,Singleton map area (NSW N Coast SI56-01)
Goat Island,NSW,I5605,,Sydney map area (NSW SI56-05)
Cockatoo Island,NSW,I5605,,Sydney map area (NSW SI56-05)
El Questro,WA East Kimberley,E5202,,Lissadell map area (WA East Kimberley SE52-02)
Lolworth,E Qld,F5501,,Hughenden map area (E Qld SF55-01)
Bangemall,WA South Pilbara / Gascoyne,G5002,,Mount Phillips map area (WA South Pilbara / Gascoyne SG50-02)
Imangara,Central NT,F5306,,Barrow Creek map area (Central NT SF53-06)
Kwale Kwale,South Central NT,F5314,,Alice Springs map area (South Central NT SF53-14)
Shepparton,N Vic,J5501,,Bendigo map area (N Vic SJ55-01)
Flat Rocks Ridge,Hawkesbury NSW,I5605,,Sydney map area (NSW SI56-05)
Walhallow,N NSW,H5613,,Tamworth map area (N NSW SH56-13)
Cabarita,Forster / Tuncurry NSW N Coast,I5602,,Newcastle map area (NSW N Coast SI56-02)
Hillcrest,NSW N Coast,H5607,,Maclean map area (NSW N Coast SH56-07)
Gunnedah Hill,Coonabarabran N NSW,H5516,,Gilgandra map area (N NSW SH55-16)
Dunmarra,North NT,E5301,,Daly Waters map area
Sandfire,WA,E5113,,Mandoora map area (WA SE51-13)
Desert Bore,South Central NT,F5215,,Mount Rennie map area (South Central NT SF52-15)
Mooroongga / Murrungga Island,Crocodile Islands Central Arnhem Land ,D5302,Murrungga Island,"Crocodile Islands (Central Arnhem Land SD53-02, SC53-14)"
Johnson Creek,WA East Kimberley ,D5205,,"Londonderry / Drysdale map areas (WA East Kimberley SD52-05, SD52-09)"
Johnson Creek,WA East Kimberley ,D5209,,"Londonderry / Drysdale map areas (WA East Kimberley SD52-05, SD52-09)"
Planigale Creek,WA East Kimberley ,D5205,,"Londonderry / Drysdale map areas (WA East Kimberley SD52-05, SD52-09)"
Planigale Creek,WA East Kimberley ,D5209,,"Londonderry / Drysdale map areas (WA East Kimberley SD52-05, SD52-09)"
Snake Creek,WA East Kimberley ,D5205,,"Londonderry / Drysdale map areas (WA East Kimberley SD52-05, SD52-09)"
Snake Creek,WA East Kimberley ,D5209,,"Londonderry / Drysdale map areas (WA East Kimberley SD52-05, SD52-09)"
Raft Point,WA West Kimberley,E5103,,Yampi map area (WA West Kimberley SE51-03)
Chapman River,East Kimberley WA,E5201,,Mount Elizabeth map area (East Kimberley WA SE52-01)
Mount McKenzie,SE SA,I5409,,Adelaide map area (SE SA SI54-09)
Saunders Creek,SE SA,I5409,,Adelaide map area (SE SA SI54-09)
Mount Pleasant,SE SA,I5409,,Adelaide map area (SE SA SI54-09)
Tungkillo,SE SA,I5409,,Adelaide map area (SE SA SI54-09)
Monarto,SE SA,I5413,,Barker map area (SE SA SI54-13)
Kanmantoo,SE SA,I5413,,Barker map area (SE SA SI54-13)
Mount Barker Creek,SE SA,I5413,,Barker map area (SE SA SI54-13)
Mount Beevor,SE SA,I5409,,Adelaide map area (SE SA SI54-09)
Horsnell Gully,SE SA,I5409,,Adelaide map area (SE SA SI54-09)
Parnkupirti Creek,Central WA Great Sandy Desert,F5201,,Cornish map area (Central WA Great Sandy Desert SF52-01)
Hay Cave,Qld Gulf,E5404,,Walsh map area (Qld Gulf SE54-04)
Cape Duquesne,W Vic,J5407,,Hamilton map area (W Vic SJ54-07)
Gillman,SE SA,I5409,,Adelaide map area (SE SA SI54-09)
Panton River,WA East Kimberley,E5206,,Dixon Range map area (WA East Kimberley SE52-06)
Woodhouse Lagoon,Little Sandy Desert WA,G5112,,Yowalga map area (Little Sandy Desert WA SG51-12)
Alexander Spring,Little Sandy Desert WA,G5112,,Yowalga map area (Little Sandy Desert WA SG51-12)
Mount Allott,Little Sandy Desert WA,G5112,,Yowalga map area (Little Sandy Desert WA SG51-12)
Walgun Rockhole,Little Sandy Desert WA,G5104,,Warri map area (Little Sandy Desert WA SG51-04)
Mcphersons Pillar,Little Sandy Desert WA,G5104,,Warri map area (Little Sandy Desert WA SG51-04)
Patience Well,Gibson Desert WA,F5116,,Morris map area (Gibson Desert WA SF51-16)
Warri Well,Little Sandy Desert WA,G5104,,Warri map area (Little Sandy Desert WA SG51-04)
Helena Spring,Central WA Great Sandy Desert,F5205,,Helena map area (Central WA Great Sandy Desert SF52-05)
Family Well,Central WA Great Sandy Desert,F5209,,Wilson map area (Central WA Great Sandy Desert SF52-09)
Piluwul /Point Massie,Central WA Great Sandy Desert,F5201,Point Massie,Cornish map area (Central WA Great Sandy Desert SF52-01)
Mount Elphinstone,Central WA Tanami Desert,F5202,,Lucas map area (Central WA Tanami Desert SF52-02)
Dwarf Well,Central WA Great Sandy Desert,F5210,,Webb map area (Central WA Great Sandy Desert SF52-10)
Alice Springs map area,South Central NT,F5314,,South Central Northern Territory (NT)
Lake Woods,North NT,E5306,,Beetaloo map area (North NT SE53-06)
Corella Creek,North NT Barkly Tablelands,E5311,,Brunette Downs map area (North NT SE53-11)
Wood Point,SE SA,I5409,,Adelaide map area (SE SA SI54-09)
Labbi Labbi / Labi Labi,Central WA Tanami Desert,F5206,Labi Labi,Stansmore map area (Central WA Tanami Desert SF52-06)
Zanci,SW NSW,I5408,,Pooncarie map area (SW NSW SI54-08)
Lake Moondarra,Qld Far NW,F5402,,Cloncurry map area (Qld Far NW SF54-02)
Alpara,South Central NT,G5208,,Ayers Rock map area (South Central NT SG52-08)
Strzelecki Desert,NE SA,H5402,,Strzelecki map area (NE SA SH54-02)
Cleft Rockshelter,WA West Pilbara,F5011,,Mount Bruce map area (WA West Pilbara SF50-11)
Newman Rockshelter,WA West Pilbara,F5011,,Mount Bruce map area (WA West Pilbara SF50-11)
Packsaddle Ridge,WA East Pilbara,F5012,,Roy Hill map area (WA East Pilbara SF50-12)
Musselbrook Creek,Qld Gulf,E5409,,Lawn Hill map area (Qld Gulf SE54-09)
Elizabeth Creek,Qld Gulf,E5409,,Lawn Hill map area (Qld Gulf SE54-09)
Old Lilydale,Qld Gulf,E5409,,Lawn Hill map area (Qld Gulf SE54-09)
Sandringham,Vic,J5505,,Melbourne map area (Vic SJ55-05)
Millys Cave,WA West Pilbara,F5011,,Mount Bruce map area (WA West Pilbara SF50-11)
Warrinilla,SW Qld,G5504,,Baralaba map area (SW Qld SG55-04)
Mount Inglis,SW Qld,G5503,,Springsure map area (SW Qld SG55-03)
Kens Cave,SW Qld,G5502,,Tambo map area (SW Qld SG55-02)
Native Well,SW Qld,G5507,,Eddystone map area (SW Qld SG55-07)
Turtle Rock,SW Qld,G5507,,Eddystone map area (SW Qld SG55-07)
Kudriemitchie Channel,NE SA,G5414,,Innamincka map area (NE SA SG54-14)
Kununurra Arched Shelter,WA East Kimberley,D5214,,Cambridge Gulf map area (WA East Kimberley SD52-14)
Philchowskis Crossing,WA East Kimberley,E5202,,Lissadell map area (WA East Kimberley SE52-02)
Moochalabra Dam,WA East Kimberley,D5214,,Cambridge Gulf map area (WA East Kimberley SD52-14)
Thompsons Cave,WA East Kimberley,E5202,,Lissadell map area (WA East Kimberley SE52-02)
The Grotto,WA East Kimberley,D5214,,Cambridge Gulf map area (WA East Kimberley SD52-14)
Orroral Valley,Namadgi ACT,I5516,,Namadgi (ACT SI55-16)
Cooninghera Waterhole,Qld Far West,G5406,,Betoota map area (Qld Far West SG54-06)
Kirityani / One Tree Flat,NE SA,G5410,One Tree Flat;Kirrijunnie Flat,Cordillo map area (NE SA SG54-10)
Abudda Lake,Qld Far West,F5413,,Mount Whelan map area (Qld Far West SF54-13)
Kunnamuka Swamp,Qld Far West,F5413,Coonamucka Swamp,Mount Whelan map area (Qld Far West SF54-13)
Naibar Claypan,Qld Far West,F5413,,Mount Whelan map area (Qld Far West SF54-13)
Collum Collum,NSW N Coast,H5606,,Grafton map area (NSW N Coast SH56-06)
Gunminyini Gumayangu,North NT,E5303,,Bauhinia Downs map area (North NT SE53-03)
Martins Gap,WA East Kimberley ,D5210,,"Medusa Banks / Cambridge Gulf map areas (WA East Kimberley SD52-10, SD52-14)"
Martins Gap,WA East Kimberley ,D5214,,"Medusa Banks / Cambridge Gulf map areas (WA East Kimberley SD52-10, SD52-14)"
Quobba,WA South Pilbara / Gascoyne,G4904,,Quobba map area (WA South Pilbara / Gascoyne SG49-04)
Bathurst Bay,Qld SE Cape York,D5509,,Cape Melville map area (Qld SE Cape York SD55-09)
Scotch Creek,NT Top End,D5204,,Darwin map area (NT Top End SD52-04)
Wooltana,NE SA Flinders Ranges,H5409,,Copley map area (NE SA Flinders Ranges SH54-09)
Winpuly / Winburn Rocks,Central WA Warburton,G5210,Winburn Rocks,Cooper map area (Central WA Warburton SG52-10)
Three Springs,SW WA,H5005,,Dongara map area (SW WA SH50-05)
Antarrengeny / Indaringinya,SE Central NT,F5307,Indaringinya,Elkedra map area (SE Central NT SF53-07)
Winjmiyurr Hill,NT ,D5301,,"Kakadu / Alligator Rivers area (NT SD53-01, SD53-05)"
Winjmiyurr Hill,NT ,D5305,,"Kakadu / Alligator Rivers area (NT SD53-01, SD53-05)"
Battle Camp Range,Qld SE Cape York,D5513,,Cooktown map area (Qld SE Cape York SD55-13)
Batavia,Qld NW Cape York,D5403,,Weipa map area (Qld NW Cape York SD54-03)
Drual,Grampians W Vic ,J5403,,"Gariwerd / Grampians (W Vic SJ54-03, SJ54-07, SJ54-08)"
Drual,Grampians W Vic ,J5407,,"Gariwerd / Grampians (W Vic SJ54-03, SJ54-07, SJ54-08)"
Drual,Grampians W Vic ,J5408,,"Gariwerd / Grampians (W Vic SJ54-03, SJ54-07, SJ54-08)"
Ardyaloon / One Arm Point,WA West Kimberley,E5103,One Arm Point;Bardi,Yampi map area (WA West Kimberley SE51-03)
Kameruka,NSW Far S Coast,J5504,,Bega map area (NSW Far S Coast SJ55-04)
Beauty Point,NSW Far S Coast,J5504,,Bega map area (NSW Far S Coast SJ55-04)
Dignams Creek,NSW Far S Coast,J5504,,Bega map area (NSW Far S Coast SJ55-04)
Aragunnu,NSW Far S Coast,J5504,,Bega map area (NSW Far S Coast SJ55-04)
Stoney Creek,NSW Far S Coast,J5504,,Bega map area (NSW Far S Coast SJ55-04)
Murray Flat,NSW Far S Coast,J5504,Murrays Flat,Bega map area (NSW Far S Coast SJ55-04)
Reedy Swamp,NSW Far S Coast,J5504,,Bega map area (NSW Far S Coast SJ55-04)
Cohens Lake,NSW Far S Coast,J5504,,Bega map area (NSW Far S Coast SJ55-04)
Jigamy Creek,NSW Far S Coast,J5504,,Bega map area (NSW Far S Coast SJ55-04)
Haycock Point,NSW Far S Coast,J5504,,Bega map area (NSW Far S Coast SJ55-04)
Towamba River,NSW Far S Coast,J5504,,Bega map area (NSW Far S Coast SJ55-04)
Wonboyn,NSW Far S Coast,J5508,,Mallacoota map area (NSW Far S Coast SJ55-08)
Lake Massacre,NE SA,G5414,,Innamincka map area (NE SA SG54-14)
Tirrawarra,NE SA,G5414,,Innamincka map area (NE SA SG54-14)
Nyinyi,"WA Fitzroy River, West Kimberley",E5111,,"Mount Anderson map area (WA Fitzroy River, West Kimberley SE51-11)"
Kalkaji,North NT,E5304,,Robinson River map area (North NT SE53-04)
Pallinup,SW WA,I5007,,Dumbleyung map area (SW WA SI50-07)
Mallina,WA West Pilbara,F5003,,Roebourne map area (WA West Pilbara SF50-03)
Katampul,SE WA Goldfields,H5101,,Leonora map area (SE WA Goldfields SH51-01)
Nawarla Gabarnmang,NT Top End,D5309,,Katherine map area (NT Top End SD53-09)
Yingalarri Waterhole,North NT,D5216,,Delamere map area (North NT SD52-16)
Malarrak,West Arnhem Land NT,C5313,,Cobourg Peninsula map area (West Arnhem Land NT SC53-13)
Bankstown,Sydney NSW,I5605,,Sydney (NSW SI56-05)
Louie Creek,Qld Gulf,E5409,,Lawn Hill map area (Qld Gulf SE54-09)
Peery Lake,NW NSW,H5412,,White Cliffs map area (NW NSW SH54-12)
Durba Springs,Little Sandy Desert WA,F5114,Pinpi;Jilakurru,Gunanya map area (Little Sandy Desert WA SF51-14)
Biella Springs,Little Sandy Desert WA,F5114,,Gunanya map area (Little Sandy Desert WA SF51-14)
Godfrey Tank,Central WA Great Sandy Desert,F5201,,Cornish map area (Central WA Great Sandy Desert SF52-01)
Chimpering,West SA,H5309,,Barton map area (West SA SH53-09)
Pylebung,West SA,H5309,,Barton map area (West SA SH53-09)
White Gin,West SA,H5309,,Barton map area (West SA SH53-09)
Black Mountain,"ACT, S NSW",I5516,,"Canberra map area (ACT, S NSW SI55-16)"
Karakin Lakes,SW WA,H5014,,Perth map area (SW WA SH50-14)
Mount Seabrook,WA Gascoyne / Murchison,G5007,,Robinson Range map area (WA Gascoyne / Murchison SG50-07)
Heywood,W Vic,J5407,,Hamilton map area (W Vic SJ54-07)
Melrose Valley,"ACT, S NSW",I5516,,"Canberra map area (ACT, S NSW SI55-16)"
Crescent Lagoon,NT Top End Roper,D5310,,Urapunga map area (NT Top End Roper SD53-10)
Kiandra,SW NSW,I5515,,Wagga Wagga map area (SW NSW SI55-15)
Padstow,Inner Sydney NSW,I5605,,Sydney (NSW SI56-05)
Cabar Feidh,NSW N Coast,H5610,,Armidale map area (NSW N Coast SH56-10)
Marlborough,E Qld,F5512,,St Lawrence map area (E Qld SF55-12)
Laurieton,NSW N Coast,H5614,,Hastings map area (NSW N Coast SH56-14)
Welbungin,SW WA,H5011,,Bencubbin map area (SW WA SH50-11)
Bowgada,SW WA,H5006,,Perenjori map area (SW WA SH50-06)
Perilya,SW WA,H5016,,Southern Cross map area (SW WA SH50-16)
Yarlarweelor,WA Gascoyne / Murchison,G5007,,Robinson Range map area (WA Gascoyne / Murchison SG50-07)
Milgun,WA Gascoyne / Murchison,G5007,,Robinson Range map area (WA Gascoyne / Murchison SG50-07)
Wannamal,SW WA,H5014,,Perth map area (SW WA SH50-14)
Balkdjam,Central Arnhem Land NT ,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Boree Nyrang,SW NSW,I5508,,Bathurst map area (SW NSW SI55-08)
Pejark Marsh,W Vic,J5412,,Colac map area (W Vic SJ54-12)
Myrniong,Vic,J5505,,Melbourne map area (Vic SJ55-05)
Mitchellstown,N Vic,J5501,,Bendigo map area (N Vic SJ55-01)
Angel Cave,"Cape Schanck, Mornington Peninsula Vic",J5509,,Queenscliff map area (Vic SJ55-09)
Intitjikula,James Ranges South Central NT ,G5301,Intirtekwerle,"James Ranges (South Central NT SG53-01, SG53-02)"
Intitjikula,James Ranges South Central NT ,G5302,Intirtekwerle,"James Ranges (South Central NT SG53-01, SG53-02)"
Umutja,South Central NT,G5208,,Ayers Rock map area (South Central NT SG52-08)
Wanga East Rockshelter,South Central NT,G5204,,Lake Amadeus map area (South Central NT SG52-04)
Bulgul,NT Top End,D5207,,Cape Scott map area (NT Top End SD52-07)
Minerva Creek,E Qld,F5515,,Emerald map area (E Qld SF55-15)
Wealwandangie,SW Qld,G5503,,Springsure map area (SW Qld SG55-03)
Moreton Bay,West SA,I5311,,Lincoln map area / Eyre Peninsula (West SA SI53-11)
Alpha,Qld Far West,F5514,,Jericho map area (Qld Far West SF55-14)
Porepunkah,N Vic,J5502,,Wangaratta map area (N Vic SJ55-02)
Warrell Creek,NSW N Coast,H5610,,"Dorrigo / Coffs Harbour map areas (NSW N Coast SH56-10, SH56-11)"
Daisy Dell,NW Tas,K5503,,Burnie map area (NW Tas SK55-03)
Teesdale,Vic,J5509,,Queenscliff map area (Vic SJ55-09)
Native Hut Creek,Vic,J5509,,Queenscliff map area (Vic SJ55-09)
Shelford,W Vic,J5408,,Ballarat map area (W Vic SJ54-08)
Mumbulla Creek,NSW Far S Coast,J5504,,Bega map area (NSW Far S Coast SJ55-04)
Mosman,N Sydney NSW,I5605,,Sydney map area (NSW SI56-05)
Keewong,NW NSW,I5501,,Ivanhoe map area (NW NSW SI55-01)
Marfield,NW NSW,I5501,,Ivanhoe map area (NW NSW SI55-01)
Yingundji / Liverpool Crater,Central Arnhem Land NT ,D5302,Liverpool Crater,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Djulirri,West Arnhem Land NT,C5313,,Cobourg Peninsula map area (West Arnhem Land NT SC53-13)
Granilpi,"East Kimberley, North NT",D5215,,"Auvergne map area (Victoria River, North NT SD52-15)"
Punipunil,"East Kimberley, North NT",D5215,,"Auvergne map area (Victoria River, North NT SD52-15)"
Waterfall,NSW,I5605,,Sydney map area (NSW SI56-05)
Riwi Cave,WA East Kimberley,E5209,,Mount Ramsay map area (WA East Kimberley SE52-09)
Japi,WA East Kimberley,E5209,,Mount Ramsay map area (WA East Kimberley SE52-09)
Wurrwurrwuy,East Arnhem Land NT,D5304,,Gove map area (East Arnhem Land NT SD53-04)
Lake Surprise,Central NT Tanami Desert,F5204,"Surprise, Lake",Mount Solitaire map area (Central NT Tanami Desert SF52-04)
Mount Catherine,SE WA,H5106,,Edjudina map area (SE WA SH51-06)
Buckland Creek,SW Qld,G5503,,Springsure map area (SW Qld SG55-03)
Chesterton Range,SW Qld,G5507,,Eddystone map area (SW Qld SG55-07)
Cathedral Cave,SW Qld,G5503,,Springsure map area (SW Qld SG55-03)
Tumbalong / Darling Harbour,NSW,I5605,Darling Harbour,Sydney map area (NSW SI56-05)
Tunglebung,NSW N Coast,H5602,,Warwick map area (NSW N Coast SH56-02)
Mallanganee,NSW N Coast,H5602,,Warwick map area (NSW N Coast SH56-02)
Burpengary Creek,SE Qld,G5615,,Brisbane map area (SE Qld SG56-15)
Wimmera River,W Vic,J5408,,Ballarat map area (W Vic SJ54-08)
Mount Victoria,W Sydney NSW,I5605,,Blue Mountains (W Sydney NSW SI56-05)
Rockley,SW NSW,I5508,,Bathurst map area (SW NSW SI55-08)
Tuena,S NSW,I5512,,Goulburn map area (S NSW SI55-12)
Dandaloo,N NSW,I5503,,Narromine map area (N NSW SI55-03)
Wallangra,N NSW,H5605,,Inverell map area (N NSW SH56-05)
Nerrigundah,NSW Far S Coast,J5504,,Bega map area (NSW Far S Coast SJ55-04)
Meroe,N NSW,H5508,,Moree map area (N NSW SH55-08)
Coopernook,NSW N Coast,H5614,,Hastings map area (NSW N Coast SH56-14)
Mathoura,SW NSW,I5513,,Deniliquin map area (SW NSW SI55-13)
Garah,N NSW,H5508,,Moree map area (N NSW SH55-08)
Clarence Town,NSW N Coast,I5602,,Newcastle map area (NSW N Coast SI56-02)
Heirisson Island,SW WA,H5014,,Perth map area (SW WA SH50-14)
Dun Dun,N NSW,I5504,,Dubbo map area (N NSW SI55-04)
Gurley,N NSW,H5508,,Moree map area (N NSW SH55-08)
Oakendale,N NSW,H5613,,Tamworth map area (N NSW SH56-13)
Sunny Corner,SW NSW,I5508,,Bathurst map area (SW NSW SI55-08)
Taralga,S NSW,I5512,,Goulburn map area (S NSW SI55-12)
Drake,NSW N Coast,H5602,,Warwick map area (NSW N Coast SH56-02)
Wyalong,SW NSW,I5507,,Forbes map area (SW NSW SI55-07)
Kimbriki,N NSW,H5511,,Walgett map area (N NSW SH55-11)
Musgrave Park,Brisbane SE Qld,G5615,,Brisbane map area (SE Qld SG56-15)
Matagarup,SW WA,H5014,,Perth map area (SW WA SH50-14)
Bayside,Vic,J5505,,Melbourne map area (Vic SJ55-05)
Djarlgarra / Canning River,SW WA,I5002,Canning River,Pinjarra map area (SW WA SI50-02)
Miellup,SW WA,I5005,,Busselton map area (SW WA SI50-05)
Harvey River,SW WA,I5002,,Pinjarra map area (SW WA SI50-02)
London Bridge,S NSW,I5516,,"Snowy / Monaro / Southern New South Wales area (S NSW SI55-16, SJ55-04)"
Catfish Waterhole,Central NT,E5208,,Wave Hill map area (Central NT SE52-08)
Dingo Creek,NSW N Coast,H5614,,Hastings map area (NSW N Coast SH56-14)
Gudnangamba,West SA,H5308,,Curdimurka map area (West SA SH53-08)
Little Bubbler Spring,West SA,H5308,,Curdimurka map area (West SA SH53-08)
Mount Hamilton Spring,West SA,H5308,,Curdimurka map area (West SA SH53-08)
Bidalina / Bubbler Spring,West SA,H5308,Bubbler Spring,Curdimurka map area (West SA SH53-08)
Dirga / Oven Spring,West SA,H5308,Oven Spring,Curdimurka map area (West SA SH53-08)
Geranium Rock,SW WA,H5007,,Ninghan map area (SW WA SH50-07)
Geranium Islands,WA East Kimberley ,D5205,,"Londonderry / Drysdale map areas (WA East Kimberley SD52-05, SD52-09)"
Geranium Islands,WA East Kimberley ,D5209,,"Londonderry / Drysdale map areas (WA East Kimberley SD52-05, SD52-09)"
Burringie,NT Top End Roper,D5310,,Urapunga map area (NT Top End Roper SD53-10)
Gwalia,SE WA Goldfields,H5101,,Leonora map area (SE WA Goldfields SH51-01)
Shay Gap,WA East Pilbara,F5101,,Yarrie map area (WA East Pilbara SF51-01)
Goroke,NW Vic,J5403,,Horsham map area (NW Vic SJ54-03)
Natimuk,NW Vic,J5403,,Horsham map area (NW Vic SJ54-03)
Yarripirlangu,Central NT,E5211,,Birrindudu map area (Central NT SE52-11)
Colong Caves,NSW,I5605,,Sydney map area (NSW SI56-05)
Mount Wheeler,E Qld,F5613,,Rockhampton map area (E Qld SF56-13)
Hopkins Falls,W Vic,J5412,,Colac map area (W Vic SJ54-12)
Teeluc,SE SA,J5402,Teeluk,Naracoorte map area (SE SA SJ54-02)
Bawley Point,NSW S Coast,I5613,,Ulladulla map area (NSW S Coast SI56-13)
Auburn,SE Qld,G5605,,Mundubberra map area (SE Qld SG56-05)
Skardon River,"Qld Far North, NE Cape York, Qld Gulf",C5415,,"Jardine River map area (Qld Far North, NE Cape York, Qld Gulf SC54-15)"
Menngen / Innisfail,North NT,D5216,Innisfail,Delamere map area (North NT SD52-16)
Murrumbateman,S NSW,I5512,,Goulburn map area (S NSW SI55-12)
Jeir,S NSW,I5516,,"Canberra map area (ACT, S NSW SI55-16)"
Nanima,S NSW,I5512,,Goulburn map area (S NSW SI55-12)
Towangah,E Vic,J5503,,Tallangatta map area (E Vic SJ55-03)
Cumberoona,N Vic,J5502,,Wangaratta map area (N Vic SJ55-02)
Umuwa,SA Central Australia,G5309,,Alberga map area (SA Central Australia SG53-09)
Narraburra,SW NSW,I5511,,Cootamundra map area (SW NSW SI55-11)
Strzelecki Regional Reserve,NE SA,H5402,,Strzelecki map area (NE SA SH54-02)
Benyeo,NW Vic,J5403,,Horsham map area (NW Vic SJ54-03)
Lilydale,Vic,J5505,,Melbourne map area (Vic SJ55-05)
Sublime Point,NSW,I5605,,Sydney map area (NSW SI56-05)
Bonegilla,N Vic,J5502,,Wangaratta map area (N Vic SJ55-02)
Gins Leap,N NSW,H5609,,Manilla map area (N NSW SH56-09)
Mungilli,Little Sandy Desert WA,G5107,,Herbert map area (Little Sandy Desert WA SG51-07)
Tika Tika,Central WA Warburton,G5201,Tikatika,Cobb map area (Central WA Warburton SG52-01)
Lake Ruth,Central NT Tanami Desert,F5203,,The Granites map area (Central NT Tanami Desert SF52-03)
Karu Park,Darwin NT Top End,D5204,,Darwin (NT Top End SD52-04)
Union Reefs Mine,NT Top End,D5208,,Pine Creek map area (NT Top End SD52-08)
Parmerpar Meethaner Cave,NW Tas,K5503,,North West Tasmania (NW Tas SK55-03)
Janevale,ACT,I5516,,Australian Capital Territory (ACT SI55-16)
Siberia,SE WA Goldfields,H5109,,Kalgoorlie map area (SE WA Goldfields SH51-09)
Massacre Hill,North NT,E5303,,Bauhinia Downs map area (North NT SE53-03)
Skeleton Creek,North NT,E5304,,Robinson River map area (North NT SE53-04)
Tamarama,Sydney NSW,I5605,,Sydney (NSW SI56-05)
Punkilpirri,Central WA Warburton,G5202,,Rawlinson map area (Central WA Warburton SG52-02)
Barwidgee,Little Sandy Desert WA,G5113,,Sir Samuel map area (Little Sandy Desert WA SG51-13)
Mount Tabor,SW Qld,G5507,,Eddystone map area (SW Qld SG55-07)
Bullen Range,ACT,I5516,,Australian Capital Territory (ACT SI55-16)
Bulgar Creek,ACT,I5516,,"Canberra map area (ACT, S NSW SI55-16)"
Mount Jerrabombera,S NSW ,I5516,,"Snowy / Monaro / Southern New South Wales area (S NSW SI55-16, SJ55-04)"
Mount Jerrabombera,S NSW ,J5504,,"Snowy / Monaro / Southern New South Wales area (S NSW SI55-16, SJ55-04)"
Maffra,NSW Far S Coast,J5504,,Bega map area (NSW Far S Coast SJ55-04)
Belmont,"Lake Macquarie, NSW N Coast",I5605,,Lake Macquarie (NSW N Coast SI56-05)
Cooranbong,NSW N Coast,I5605,,Lake Macquarie (NSW N Coast SI56-05)
Martinsville,NSW N Coast,I5605,,Lake Macquarie (NSW N Coast SI56-05)
Pelican,NSW N Coast,I5605,,Lake Macquarie (NSW N Coast SI56-05)
Cummins,West SA,I5311,,Lincoln map area / Eyre Peninsula (West SA SI53-11)
The Rock,SW WA,H5015,,Kellerberrin map area (SW WA SH50-15)
Badjaling,SW WA,I5003,Badjaling,Corrigin map area (SW WA SI50-03)
Wanalirri,WA East Kimberley,D5213,,Ashton map area (WA East Kimberley SD52-13)
Albatross Bay,Qld NW Cape York,D5403,,Weipa map area (Qld NW Cape York SD54-03)
Wonitji Janga,SW WA,I5005,,Busselton map area (SW WA SI50-05)
Carbunup,SW WA,I5005,,Busselton map area (SW WA SI50-05)
Napier Downs,WA West Kimberley,E5108,,Lennard River map area (WA West Kimberley SE51-08)
Inglewood,ACT,I5516,,Australian Capital Territory (ACT SI55-16)
Lansdowne,S NSW,I5512,,Goulburn map area (S NSW SI55-12)
Murra Murra,SW Qld,H5502,,Cunnamulla map area (SW Qld SH55-02)
Darebin Creek,Vic,J5505,,Melbourne map area (Vic SJ55-05)
Whittlesea,Vic,J5505,,Melbourne map area (Vic SJ55-05)
The Breakaways,West SA,H5306,,Coober Pedy map area (West SA SH53-06)
Lambing Flat,SW NSW,I5511,,Cootamundra map area (SW NSW SI55-11)
Woodlands Historic Park,Vic,J5505,,Melbourne map area (Vic SJ55-05)
Dights Falls,Vic,J5505,,Melbourne map area (Vic SJ55-05)
Boyne River,E Qld,F5613,,Rockhampton map area (E Qld SF56-13)
Morton Plains,NW Vic,J5404,,St Arnaud map area (NW Vic SJ54-04)
Lake Wallace,W Vic,J5407,"Wallace, Lake",Hamilton map area (W Vic SJ54-07)
Cressbrook,SE Qld,G5614,,Ipswich map area (SE Qld SG56-14)
