000,001,008,035$a,040$a,040$b,040$c,040$e,191$a,491$a,591$w,591$a,670$a 
00430nz  a2200133n  4500,XX167756\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\{04},151030n|\aaznnaabn\\\\\\\\\\|n\ana\\\\\d,XX167756,AIAS,,AIAS,,Kalbar (SE Qld SG56-14),,g,Ipswich map area (SE Qld SG56-14),Looking back along Fassifern Valley 
00413nz  a2200133n  4500,XX167789\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\{04},151102n|\acznnaabn\\\\\\\\\\|n\ana\\\\\d,XX167789,AIAS,,AIAS,,Cania (SE Qld SG56-01),,g,Monto map area (SE Qld SG56-01),"A new province? , 1982"
00426nz  a2200133n  4500,XX167796\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\{04},151102n|\aaznnaabn\\\\\\\\\\|n\ana\\\\\d,XX167796,AIAS,eng,AIAS,,Dora Dora (SW NSW SI55-15),,g,Wagga Wagga map area (SW NSW SI55-15),The black tracker 
00423nz  a2200133n  4500,XX167804\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\{04},151102n|\aaznnaabn\\\\\\\\\\|n\ana\\\\\d,XX167804,AIAS,,AIAS,,Spalding (SE SA SI54-05),,g,Burra map area (SE SA SI54-05),From where the Broughton flows 
00423nz  a2200133n  4500,XX167805\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\{04},151102n|\aaznnaabn\\\\\\\\\\|n\ana\\\\\d,XX167805,AIAS,,AIAS,,Euromina (SE SA SI54-05),,g,Burra map area (SE SA SI54-05),From where the Broughton flows 
00423nz  a2200133n  4500,XX167806\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\{04},151102n|\aaznnaabn\\\\\\\\\\|n\ana\\\\\d,XX167806,AIAS,,AIAS,,Washpool (SE SA SI54-05),,g,Burra map area (SE SA SI54-05),From where the Broughton flows 
00470nz  a2200133n  4500,XX167877\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\{04},151104n|\aaznnaabn\\\\\\\\\\|n\ana\\\\\d,XX167877,AIAS,,AIAS,,Clarendon (SE SA SI54-13),,g,Barker map area (SE SA SI54-13),Clarendon 
00492nz  a2200133n  4500,XX167880\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\{04},151104n|\aaznnaabn\\\\\\\\\\|n\ana\\\\\d,XX167880,AIAS,,AIAS,,"Adelaide Hills (SE SA SI54, SJ54)",,g,"South East South Australia (SE SA SI54, SJ54)",Clarendon 
00475nz  a2200133n  4500,XX167894\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\{04},151104n|\acznnaabn\\\\\\\\\\|n\ana\\\\\d,XX167894,AIAS,,AIAS,,Alexandria (Inner Sydney NSW SI56-05),,g,Sydney (NSW SI56-05),Pictures for cities 
00455nz  a2200133n  4500,XX167906\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\{04},151104n|\aaznnaabn\\\\\\\\\\|n\ana\\\\\d,XX167906,AIAS,,AIAS,,Mount Korong (NW Vic SJ54-04),,g,St Arnaud map area (NW Vic SJ54-04),"Burrabungle, Mt Korong "
00449nz  a2200133n  4500,XX167913\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\{04},151104n|\acznnaabn\\\\\\\\\\|n\ana\\\\\d,XX167913,AIAS,,AIAS,,Yanjilpiri (South Central NT SF52-12),,g,Mount Doreen map area (South Central NT SF52-12),Singing the Milky way 
00444nz  a2200133n  4500,XX167914\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\{04},151104n|\acznnaabn\\\\\\\\\\|n\ana\\\\\d,XX167914,AIAS,,AIAS,,Panma (South Central NT SF52-12),,g,Mount Doreen map area (South Central NT SF52-12),Singing the Milky way 
00464nz  a2200145n  4500,XX167940\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\{04},151105n|\aaznnaabn\\\\\\\\\\|n\ana\\\\\d,XX167940,AIAS,,AIAS,,Fish Point (NW Vic SI54-16),"Point, Fish (NW Vic SI54-16)",g,Swan Hill map area (NW Vic SI54-16),Group portrait at Coranderrk Mission station
00434nz  a2200133n  4500,XX167958\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\{04},151105n|\acznnaabn\\\\\\\\\\|n\ana\\\\\d,XX167958,AIAS,,AIAS,,Wandiligong (N Vic SJ55-02),,g,Wangaratta map area (N Vic SJ55-02),"Wandiligong , 1988"
00441nz  a2200133n  4500,XX167982\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\{04},151105n|\acznnaabn\\\\\\\\\\|n\ana\\\\\d,XX167982,AIAS,,AIAS,,Melton (Vic SJ55-05),,g,Melbourne map area (Vic SJ55-05),"The western region Melbourne metropolitan area , 1989"
00510nz  a2200133n  4500,XX168059\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\{04},151109n|\aaznnaabn\\\\\\\\\\|n\ana\\\\\d,XX168059,AIAS,,AIAS,,Guilderton (SW WA SH50-14),,g,Perth map area (SW WA SH50-14),Kullarri Regional Council 
00508nz  a2200133n  4500,XX168060\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\{04},151109n|\aaznnaabn\\\\\\\\\\|n\ana\\\\\d,XX168060,AIAS,,AIAS,,Lancelin (SW WA SH50-14),,g,Perth map area (SW WA SH50-14),Kullarri Regional Council 
00508nz  a2200133n  4500,XX168061\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\{04},151109n|\aaznnaabn\\\\\\\\\\|n\ana\\\\\d,XX168061,AIAS,,AIAS,,Beechina (SW WA SH50-14),,g,Perth map area (SW WA SH50-14),Kullarri Regional Council 
00412nz  a2200133n  4500,XX168223\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\{04},151113n|\aaznnaabn\\\\\\\\\\|n\ana\\\\\d,XX168223,AIAS,,AIAS,,Kutalayna (E Tas SK55-06),,g,Oatlands map area (E Tas SK55-06),Land & heritage 
00457nz  a2200133n  4500,XX168274\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\{04},151116n|\aaznnaabn\\\\\\\\\\|n\ana\\\\\d,XX168274,AIAS,,AIAS,,Camp Coorong (SE SA SI54-13),,g,Barker map area (SE SA SI54-13),Adelaide 
00416nz  a2200133n  4500,XX168291\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\{04},151116n|\acznnaabn\\\\\\\\\\|n\ana\\\\\d,XX168291,AIAS,,AIAS,,Springvale (N NSW SI55-04),,g,Dubbo map area (N NSW SI55-04),"Cooyal stories , 1985?]"
00484nz  a2200133n  4500,XX168314\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\{04},151116n|\acznnaabn\\\\\\\\\\|n\ana\\\\\d,XX168314,AIAS,,AIAS,,Waldrona (SW Qld SG55-12),,g,Roma map area (SW Qld SG55-12),"A survey of Aboriginal sites in south central and central Queensland , 1987"
00430nz  a2200133n  4500,XX168343\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\{04},151117n|\aaznnaabn\\\\\\\\\\|n\ana\\\\\d,XX168343,AIAS,,AIAS,,Kalipinypa (South Central NT SF52-15),,g,Mount Rennie map area (South Central NT SF52-15),"Papunya , 2013"
00425nz  a2200133n  4500,XX168387\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\{04},151118n|\aaznnaabn\\\\\\\\\\|n\ana\\\\\d,XX168387,AIAS,,AIAS,,Bundeena (NSW S Coast SI56-09),,g,Wollongong map area / Illawarra (NSW S Coast SI56-09),The Shire 
00451nz  a2200133n  4500,XX168411\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\{04},151119n|\acznnaabn\\\\\\\\\\|n\ana\\\\\d,XX168411,AIAS,,AIAS,,Kilmore (Vic SJ55-05),,g,Melbourne map area (Vic SJ55-05),"A taste of old Kilmore , 1967"
00483nz  a2200133n  4500,XX168430\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\{04},151119n|\acznnaabn\\\\\\\\\\|n\ana\\\\\d,XX168430,AIAS,,AIAS,,Inman Valley (SE SA SI54-13),,g,Barker map area (SE SA SI54-13),"The Inman Valley story. , [1971]"
00454nz  a2200133n  4500,XX168515\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\{04},151123n|\acznnaabn\\\\\\\\\\|n\ana\\\\\d,XX168515,AIAS,,AIAS,,Bicheno (E Tas SK55-06),,g,Oatlands map area (E Tas SK55-06),"Pioneers of the East Coast from 1642, Swansea, Bicheno "
00449nz  a2200133n  4500,XX168522\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\{04},151123n|\acznnaabn\\\\\\\\\\|n\ana\\\\\d,XX168522,AIAS,,AIAS,,Woodside (E Vic Gippsland SJ55-10),,g,Warragul map area (E Vic Gippsland SJ55-10),"Beyond the ninety mile , [1972]"
00477nz  a2200133n  4500,XX168532\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\{04},151124n|\acznnaabn\\\\\\\\\\|n\ana\\\\\d,XX168532,AIAS,,AIAS,,Ninety Mile Beach (E Vic Gippsland SJ55-11),,g,"Bairnsdale / Sale map areas (E Vic Gippsland SJ55-07, SJ55-11)","Beyond the ninety mile , [1972]"
00458nz  a2200133n  4500,XX168533\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\{04},151124n|\acznnaabn\\\\\\\\\\|n\ana\\\\\d,XX168533,AIAS,,AIAS,,McLoughlins Beach (E Vic Gippsland SJ55-10),,g,Warragul map area (E Vic Gippsland SJ55-10),"Beyond the ninety mile , [1972]"
00446nz  a2200133n  4500,XX168639\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\{04},151125n|\acznnaabn\\\\\\\\\\|n\ana\\\\\d,XX168639,AIAS,,AIAS,,Port Campbell (W Vic SJ54-12),,g,Colac map area (W Vic SJ54-12),"The story of the Port Campbell district , 1971"
00439nz  a2200133n  4500,XX168641\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\{04},151125n|\acznnaabn\\\\\\\\\\|n\ana\\\\\d,XX168641,AIAS,,AIAS,,Cobden (W Vic SJ54-12),,g,Colac map area (W Vic SJ54-12),"The story of the Port Campbell district , 1971"
00440nz  a2200133n  4500,XX168642\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\{04},151125n|\acznnaabn\\\\\\\\\\|n\ana\\\\\d,XX168642,AIAS,,AIAS,,Timboon (W Vic SJ54-12),,g,Colac map area (W Vic SJ54-12),"The story of the Port Campbell district , 1971"
00443nz  a2200133n  4500,XX168643\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\{04},151125n|\acznnaabn\\\\\\\\\\|n\ana\\\\\d,XX168643,AIAS,,AIAS,,Princetown (W Vic SJ54-12),,g,Colac map area (W Vic SJ54-12),"The story of the Port Campbell district , 1971"
00414nz  a2200133n  4500,XX168659\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\{04},151126n|\acznnaabn\\\\\\\\\\|n\ana\\\\\d,XX168659,AIAS,,AIAS,,Kanyaka (SE SA SI54-01),,g,Orroroo map area (SE SA SI54-01),"Quorn , 1973"
00446nz  a2200133n  4500,XX168688\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\{04},151126n|\acznnaabn\\\\\\\\\\|n\ana\\\\\d,XX168688,AIAS,,AIAS,,Meckering (SW WA SH50-15),,g,Kellerberrin map area (SW WA SH50-15),"Cunderdin-Meckering, a wheatlands history "
00402nz  a2200133n  4500,XX168708\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\{04},151126n|\acznnaabn\\\\\\\\\\|n\ana\\\\\d,XX168708,AIAS,,AIAS,,Eden Park (Vic SJ55-05),,g,Melbourne (Vic SJ55-05),"Natures plenty , 1992"
00406nz  a2200133n  4500,XX168709\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\{04},151126n|\acznnaabn\\\\\\\\\\|n\ana\\\\\d,XX168709,AIAS,,AIAS,,Diamond Creek (Vic SJ55-05),,g,Melbourne (Vic SJ55-05),"Natures plenty , 1992"
00402nz  a2200133n  4500,XX168710\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\{04},151126n|\acznnaabn\\\\\\\\\\|n\ana\\\\\d,XX168710,AIAS,,AIAS,,Kingslake (Vic SJ55-05),,g,Melbourne (Vic SJ55-05),"Natures plenty , 1992"
00410nz  a2200133n  4500,XX168733\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\{04},151127n|\acznnaabn\\\\\\\\\\|n\ana\\\\\d,XX168733,AIAS,,AIAS,,Yan Yean (Vic SJ55-05),,g,Melbourne map area (Vic SJ55-05),"Natures plenty , 1992"
00463nz  a2200133n  4500,XX168806\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\{04},151130n|\aaznnaabn\\\\\\\\\\|n\ana\\\\\d,XX168806,AIAS,,AIAS,,Woolaning (NT Top End SD52-04),,g,Darwin map area (NT Top End SD52-04),"Darwin, Northern Territory "
00458nz  a2200133n  4500,XX168812\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\{04},151130n|\aaznnaabn\\\\\\\\\\|n\ana\\\\\d,XX168812,AIAS,,AIAS,,Eromanga (Qld Far West SG54-12),,g,Eromanga map area (Qld Far West SG54-12),"Roma, Queensland "
00446nz  a2200133n  4500,XX168813\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\{04},151130n|\aaznnaabn\\\\\\\\\\|n\ana\\\\\d,XX168813,AIAS,,AIAS,,Emu Creek (SE Qld SG56-14),,g,Ipswich map area (SE Qld SG56-14),"Roma, Queensland "
00513nz  a2200133n  4500,XX168820\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\{04},151130n|\aaznnaabn\\\\\\\\\\|n\ana\\\\\d,XX168820,AIAS,,AIAS,,"Bulanjarr (WA Fitzroy River, West Kimberley SE51-11)",,g,"Mount Anderson map area (WA Fitzroy River, West Kimberley SE51-11)","Derby, Western Australia "
00510nz  a2200133n  4500,XX168821\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\{04},151130n|\aaznnaabn\\\\\\\\\\|n\ana\\\\\d,XX168821,AIAS,,AIAS,,Ngarantjadu (Central WA Great Sandy Desert SE52-13),,g,Mount Bannerman map area (Central WA Great Sandy Desert SE52-13),"Derby, Western Australia "
00476nz  a2200133n  4500,XX168822\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\{04},151130n|\aaznnaabn\\\\\\\\\\|n\ana\\\\\d,XX168822,AIAS,,AIAS,,Yulumbu (East Kimberley WA SE52-05),,g,Lansdowne map area (East Kimberley WA SE52-05),"Derby, Western Australia "
00484nz  a2200133n  4500,XX168823\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\{04},151130n|\aaznnaabn\\\\\\\\\\|n\ana\\\\\d,XX168823,AIAS,,AIAS,,Djarworrada (WA West Kimberley SD51-16),,g,Prince Regent map area (WA West Kimberley SD51-16),"Derby, Western Australia "
00482nz  a2200133n  4500,XX168824\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\{04},151130n|\aaznnaabn\\\\\\\\\\|n\ana\\\\\d,XX168824,AIAS,,AIAS,,Kandiwal (WA West Kimberley SD51-12),,g,Montague Sound map area (WA West Kimberley SD51-12),"Derby, Western Australia "
00453nz  a2200133n  4500,XX168825\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\{04},151130n|\aaznnaabn\\\\\\\\\\|n\ana\\\\\d,XX168825,AIAS,,AIAS,,Echidnas Rest (NE Qld SE55-05),,g,Atherton map area (NE Qld SE55-05),Land snails in Australian archaeology 
00413nz  a2200133n  4500,XX168877\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\{04},151202n|\acznnaabn\\\\\\\\\\|n\ana\\\\\d,XX168877,AIAS,,AIAS,,Merino (W Vic SJ54-07),,g,Hamilton map area (W Vic SJ54-07),"Shire of Glenelg centenary, 1863-1963 , 1964]"
00414nz  a2200133n  4500,XX168932\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\{04},151203n|\acznnaabn\\\\\\\\\\|n\ana\\\\\d,XX168932,AIAS,,AIAS,,Spencer (NSW SI56-05),,g,Sydney map area (NSW SI56-05),The historic Hawkesbury River 
00468nz  a2200133n  4500,XX168970\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\{04},151204n|\aaznnaabn\\\\\\\\\\|n\ana\\\\\d,XX168970,AIAS,,AIAS,,Bridgeman Downs (SE Qld SG56-15),,g,Brisbane map area (SE Qld SG56-15),"The history of Albany Creek, Bridgeman Downs and Eatons Hill , 1980"
00464nz  a2200133n  4500,XX168971\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\{04},151204n|\aaznnaabn\\\\\\\\\\|n\ana\\\\\d,XX168971,AIAS,,AIAS,,Eatons Hill (SE Qld SG56-15),,g,Brisbane map area (SE Qld SG56-15),"The history of Albany Creek, Bridgeman Downs and Eatons Hill , 1980"
00465nz  a2200133n  4500,XX168972\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\{04},151204n|\aaznnaabn\\\\\\\\\\|n\ana\\\\\d,XX168972,AIAS,,AIAS,,Albany Creek (SE Qld SG56-15),,g,Brisbane map area (SE Qld SG56-15),"The history of Albany Creek, Bridgeman Downs and Eatons Hill , 1980"
00452nz  a2200133n  4500,XX169046\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\{04},151208n|\aaznnaabn\\\\\\\\\\|n\ana\\\\\d,XX169046,AIAS,,AIAS,,Greta (NSW N Coast SI56-01),,g,Singleton map area (NSW N Coast SI56-01),"Mines, wines and people "
00482nz  a2200133n  4500,XX169058\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\{04},151208n|\aaznnaabn\\\\\\\\\\|n\ana\\\\\d,XX169058,AIAS,,AIAS,,Liru Walk (South Central NT SG52-08),,g,Ayers Rock map area (South Central NT SG52-08),Interpreting traditional Aboriginal culture at Uluru National Park
00465nz  a2200133n  4500,XX169176\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\{04},151210n|\acznnaabn\\\\\\\\\\|n\ana\\\\\d,XX169176,AIAS,,AIAS,,Flaxman Valley (SE SA SI54-09),,g,Adelaide map area (SE SA SI54-09),"Barossa district Aboriginal archaeology and heritage survey , 1995"
00488nz  a2200133n  4500,XX169185\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\{04},151210n|\acznnaabn\\\\\\\\\\|n\ana\\\\\d,XX169185,AIAS,,AIAS,,Kergunyah (E Vic SJ55-03),,g,Tallangatta map area (E Vic SJ55-03),"The Kiewa Valley and its pioneers. , 1971"
00447nz  a2200133n  4500,XX169195\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\{04},151210n|\acznnaabn\\\\\\\\\\|n\ana\\\\\d,XX169195,AIAS,,AIAS,,Mudgegonga (N Vic SJ55-02),,g,Wangaratta map area (N Vic SJ55-02),"Mudgegongas hall of fame , 1988]"
00466nz  a2200133n  4500,XX169220\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\{04},151214n|\aaznnaabn\\\\\\\\\\|n\ana\\\\\d,XX169220,AIAS,,AIAS,,Muyinnga (Central WA Great Sandy Desert SF52-14),,g,Macdonald map area (Central WA Great Sandy Desert SF52-14),Home is where your sky is 
00432nz  a2200133n  4500,XX169270\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\{04},151215n|\aaznnaabn\\\\\\\\\\|n\ana\\\\\d,XX169270,AIAS,,AIAS,,Wirnpa (Percival Lakes Great Sandy Desert WA SF51-07),,g,Sahara map area (Great Sandy Desert WA SF51-07),"Desert heart, c2007"
00420nz  a2200133n  4500,XX169271\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\{04},151215n|\aaznnaabn\\\\\\\\\\|n\ana\\\\\d,XX169271,AIAS,,AIAS,,Lungarung (Great Sandy Desert WA SF51-07),,g,Sahara map area (Great Sandy Desert WA SF51-07),"Desert heart, c2007"
00401nz  a2200133n  4500,XX169307\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\{04},151216n|\aaznnaabn\\\\\\\\\\|n\ana\\\\\d,XX169307,AIAS,,AIAS,,Oakajee (SW WA SH50-01),,g,Geraldton map area (SW WA SH50-01),Good HeART...art from the heart
00460nz  a2200133n  4500,XX169308\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\{04},151216n|\aaznnaabn\\\\\\\\\\|n\ana\\\\\d,XX169308,AIAS,,AIAS,,Malandarri (North NT SE53-03),,g,Bauhinia Downs map area (North NT SE53-03),Aboriginal language use in the Northern Territory 
00418nz  a2200133n  4500,XX169316\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\{04},151217n|\aaznnaabn\\\\\\\\\\|n\ana\\\\\d,XX169316,AIAS,,AIAS,,Wentworthville (W Sydney SI56-05),,g,Sydney map area (NSW SI56-05),A history of Parramatta 
00466nz  a2200133n  4500,XX169319\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\{04},151217n|\acznnaabn\\\\\\\\\\|n\ana\\\\\d,XX169319,AIAS,eng,AIAS,,Caulfield (SW Melbourne Vic SJ55-05),,g,Melbourne map area (Vic SJ55-05),"From sand, swamp and heath , 1980"
00415nz  a2200133n  4500,XX169331\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\{04},151218n|\acznnaabn\\\\\\\\\\|n\ana\\\\\d,XX169331,AIAS,,AIAS,,Glenaroua (Vic SJ55-05),,g,Melbourne map area (Vic SJ55-05),"Kilmore, 1837-1937 , 1972"
00437nz  a2200133n  4500,XX169336\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\{04},151218n|\aaznnaabn\\\\\\\\\\|n\ana\\\\\d,XX169336,AIAS,,AIAS,,Wilgena (West SA SH53-10),,g,Tarcoola map area (West SA SH53-10),Aboriginal relationships to the Tarcoola area 
00435nz  a2200133n  4500,XX169344\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\{04},151218n|\acznnaabn\\\\\\\\\\|n\ana\\\\\d,XX169344,AIAS,,AIAS,,Goorangoola (NSW N Coast SI56-01),,g,Singleton map area (NSW N Coast SI56-01),"Times subjects , 1982]"
00413nz  a2200133n  4500,XX169347\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\{04},151218n|\acznnaabn\\\\\\\\\\|n\ana\\\\\d,XX169347,AIAS,,AIAS,,Sofala (SW NSW SI55-08),,g,Bathurst map area (SW NSW SI55-08),Frontiers of gold 
00412nz  a2200133n  4500,XX169356\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\{04},151221n|\acznnaabn\\\\\\\\\\|n\ana\\\\\d,XX169356,AIAS,,AIAS,,Widgee (SE Qld SG56-10),,g,Gympie map area (SE Qld SG56-10),"Winds of change , 1979"
00428nz  a2200133n  4500,XX169398\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\{04},151223n|\aaznnaabn\\\\\\\\\\|n\ana\\\\\d,XX169398,AIAS,eng,AIAS,,Essendon (N Melbourne Vic SJ55-05),,g,Melbourne map area (Vic SJ55-05),The short Long book 
00443nz  a2200133n  4500,XX169401\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\{04},151223n|\aaznnaabn\\\\\\\\\\|n\ana\\\\\d,XX169401,AIAS,,AIAS,,Gunamula (Qld Gulf SE54-05),,g,Westmoreland map area (Qld Gulf SE54-05),Negotiating belonging 
00458nz  a2200133n  4500,XX169402\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\{04},151223n|\aaznnaabn\\\\\\\\\\|n\ana\\\\\d,XX169402,AIAS,,AIAS,,Maludayi (Mainland Qld Gulf SE54-06),,g,Burketown map area (Mainland Qld Gulf SE54-06),Negotiating belonging 
00432nz  a2200133n  4500,XX169506\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\{04},160106n|\acznnaabn\\\\\\\\\\|n\ana\\\\\d,XX169506,AIAS,,AIAS,,Glen Wills (E Vic Gippsland SJ55-03),,g,Tallangatta map area (E Vic SJ55-03),"Brajerack , 1983"
